_idx,_name,area_ellipse,area_exact,flux,peak,npix,major_sigma,minor_sigma,major_fwhm,minor_fwhm,position_angle,radius,x_cen,y_cen,rejected,100.0GHz_snr,score,notes,G2018,notesG2018,S2016_HII,HII?
9387,9387,5.56E-10,1.85E-09,0.000769105,0.000420193,60,1.51E-05,8.47E-06,3.55E-05,1.99E-05,132.366046,1.13E-05,266.8330973,-28.38215504,0,6.808723863,2,Disk?,core_247,,,
9391,9391,2.87E-10,9.26E-10,0.000333865,0.000366809,30,9.97E-06,6.60E-06,2.35E-05,1.56E-05,103.9513257,8.11E-06,266.8280373,-28.38215222,0,8.251008204,2,,,,,
9490,9490,5.04E-10,2.62E-09,0.003070432,0.002534212,85,1.13E-05,1.02E-05,2.66E-05,2.41E-05,132.2836634,1.08E-05,266.8277337,-28.38187515,0,22.02675665,2,,core_182_Y,Core inside HII region?,,2
9525,9525,1.98E-10,6.48E-10,0.000233451,0.000315939,21,7.66E-06,5.94E-06,1.80E-05,1.40E-05,164.165819,6.74E-06,266.8282183,-28.38181705,0,10.3801381,2,,,,,
9526,9526,4.20E-10,1.45E-09,0.000597336,0.000452837,47,1.29E-05,7.47E-06,3.04E-05,1.76E-05,146.7610403,9.82E-06,266.8270716,-28.3818106,0,13.31130452,2,,,,,
9594,9594,3.63E-10,1.14E-09,0.000409628,0.000315991,37,9.99E-06,8.33E-06,2.35E-05,1.96E-05,175.3039746,9.13E-06,266.8282902,-28.38167879,0,9.825182503,2,,,,,
9607,9607,4.51E-10,1.42E-09,0.000445234,0.000261117,46,1.18E-05,8.76E-06,2.79E-05,2.06E-05,79.06602836,1.02E-05,266.8287878,-28.38164534,0,6.268501473,2,,,,,
9714,9714,2.41E-09,8.33E-09,0.003666847,0.000561457,270,2.97E-05,1.86E-05,7.00E-05,4.38E-05,114.9011776,2.35E-05,266.8253837,-28.38121679,0,20.07293456,2,,core_94,,,
10020,10020,1.37E-09,4.38E-09,0.001683505,0.000350924,142,1.85E-05,1.70E-05,4.36E-05,4.00E-05,-135.8765996,1.77E-05,266.8328647,-28.37984171,0,4.827633472,1,HII region?,core_229,,,2
1012,1012,3.26E-09,1.15E-08,0.007115349,0.001281427,372,3.42E-05,2.19E-05,8.04E-05,5.16E-05,51.03449172,2.74E-05,266.8343394,-28.3853369,0,15.11449365,3,min delta,core_239,,,
1034,1034,7.61E-10,2.65E-09,0.003217815,0.001307916,86,1.78E-05,9.80E-06,4.20E-05,2.31E-05,55.71453319,1.32E-05,266.8342196,-28.38522623,0,7.956574905,2,,,,,
1035,1035,1.95E-09,7.72E-09,0.006288769,0.001398009,250,2.48E-05,1.80E-05,5.84E-05,4.25E-05,-174.7619335,2.11E-05,266.8339667,-28.38521605,0,7.990607947,1,HII region?,,,F10.35,2
1044,1044,6.05E-10,4.54E-09,0.08520454,0.060560994,147,1.25E-05,1.11E-05,2.94E-05,2.62E-05,126.7811447,1.18E-05,266.8341364,-28.38518771,0,221.0083431,2,Perfect - take a look,core_179_f10.38,,F10.38?,1
1060,1060,9.30E-10,3.24E-09,0.016019105,0.005756938,105,1.80E-05,1.18E-05,4.25E-05,2.79E-05,104.9431738,1.46E-05,266.833811,-28.38511068,0,33.53342881,2,,core_225_f10.33b,,,
1064,1064,1.11E-09,1.08E-08,0.162574667,0.081538841,351,1.70E-05,1.50E-05,3.99E-05,3.53E-05,45.64356736,1.60E-05,266.8340754,-28.38499669,0,307.1043895,2,,core_178_f10.37,Imporve HII region location?,F10.37,1
1067,1067,8.06E-10,2.62E-09,0.001583838,0.000575756,85,1.60E-05,1.16E-05,3.77E-05,2.72E-05,-160.7498546,1.36E-05,266.8335969,-28.38505972,0,2.970198552,0,,,,,
1075,1075,7.29E-10,1.85E-09,0.005889913,0.002535977,60,2.23E-05,7.50E-06,5.26E-05,1.77E-05,135.9120357,1.29E-05,266.8338762,-28.38504593,0,8.45852577,0,,,,,
1083,1083,2.68E-09,7.19E-09,0.00430973,0.000725373,233,3.63E-05,1.70E-05,8.54E-05,4.00E-05,137.1380939,2.48E-05,266.8337892,-28.38494759,0,4.989563501,0,,,,,
1091,1091,2.84E-09,8.15E-09,0.00573857,0.001356955,264,3.49E-05,1.87E-05,8.21E-05,4.40E-05,90.8109655,2.55E-05,266.8335276,-28.38486848,0,9.559753724,3,min delta,,,,
1092,1092,2.04E-09,6.33E-09,0.013218707,0.002496878,205,2.54E-05,1.85E-05,5.98E-05,4.35E-05,65.11402177,2.16E-05,266.8339545,-28.38490972,0,13.50780109,2,Coordinates,,,,
1099,1099,8.69E-10,5.43E-09,0.011611191,0.007766568,176,1.87E-05,1.07E-05,4.41E-05,2.51E-05,129.8105022,1.41E-05,266.833642,-28.38483139,0,50.03705475,2,,core_233_f10.27b,,F10.27,1
1114,1114,8.24E-10,2.35E-09,0.000841306,0.000566371,76,2.29E-05,8.27E-06,5.39E-05,1.95E-05,141.2771901,1.38E-05,266.8337197,-28.38475591,0,2.51318897,0,,,,,
1122,1122,4.31E-10,1.39E-09,0.049979594,0.030985124,45,1.26E-05,7.88E-06,2.96E-05,1.86E-05,177.0061827,9.95E-06,266.8339693,-28.38474602,0,23.32767038,1,"Not sure, resolved?",,,,
1128,1128,2.42E-09,5.52E-09,0.854984518,0.151290148,179,3.18E-05,1.75E-05,7.48E-05,4.12E-05,71.65807149,2.36E-05,266.8340185,-28.3846692,0,5.983193739,2,Extended,core_174_f3,,F3,1
1131,1131,3.72E-10,1.11E-09,0.00200893,0.00137505,36,1.04E-05,8.18E-06,2.46E-05,1.93E-05,151.8922328,9.24E-06,266.8338831,-28.38468121,0,2.059192651,0,,,,,
1133,1133,8.46E-10,2.84E-09,0.032054628,0.012099747,92,1.63E-05,1.19E-05,3.84E-05,2.81E-05,80.08931737,1.39E-05,266.8342246,-28.38465386,0,7.83147359,0,HII region?,,,,
1135,1135,6.38E-09,1.49E-08,0.005071644,0.000648901,483,5.84E-05,2.51E-05,0.000137608,5.90E-05,163.7846706,3.83E-05,266.8335675,-28.38460634,0,4.577686826,3,"min value, min delta",,,,
1136,1136,6.82E-10,2.81E-09,0.001661524,0.000906221,91,2.30E-05,6.80E-06,5.42E-05,1.60E-05,154.2285219,1.25E-05,266.8345461,-28.38464449,0,3.863587497,0,Disk?,,,,
1137,1137,4.98E-10,1.42E-09,0.154278016,0.073526345,46,1.52E-05,7.53E-06,3.57E-05,1.77E-05,107.8203134,1.07E-05,266.8340825,-28.38463749,0,2.287306334,0,,,,,
1143,1143,1.81E-10,5.56E-10,0.001503573,0.002151608,18,9.14E-06,4.55E-06,2.15E-05,1.07E-05,171.2760841,6.45E-06,266.8343276,-28.38460839,0,3.689707636,0,,,,,
1145,1145,1.25E-10,4.01E-10,0.035990125,0.067773521,13,5.81E-06,4.96E-06,1.37E-05,1.17E-05,135.7471952,5.37E-06,266.8339862,-28.38460572,0,6.185721556,2,,,,,
1152,1152,2.90E-09,1.52E-08,0.345366476,0.071373634,493,2.71E-05,2.45E-05,6.39E-05,5.77E-05,-177.2473388,2.58E-05,266.8342192,-28.38454695,0,63.7596558,2,Multiple sources,core_234_f4,,F4,1
1159,1159,3.75E-10,1.54E-09,0.066151666,0.059724499,50,1.10E-05,7.84E-06,2.59E-05,1.85E-05,135.4840583,9.28E-06,266.8337635,-28.38455437,0,91.13295216,2,,,,,
1161,1161,1.79E-10,5.56E-10,0.013576619,0.017707219,18,7.03E-06,5.83E-06,1.66E-05,1.37E-05,90.11462938,6.40E-06,266.8338356,-28.38455654,0,4.746033988,1,Not sure,,,,
1163,1163,6.31E-10,2.13E-09,0.002307768,0.001062803,69,1.63E-05,8.86E-06,3.85E-05,2.09E-05,122.481146,1.20E-05,266.8344365,-28.38452726,0,4.11870195,0,"Unlikely, two sources",,,,
1171,1171,1.21E-09,4.35E-09,0.480029574,0.186903015,141,2.65E-05,1.05E-05,6.23E-05,2.47E-05,146.0689876,1.67E-05,266.833896,-28.38447142,0,42.1402918,2,Contour,core_176_f1,"Fragmented, at least one is HII",F1,1
1176,1176,4.97E-10,1.60E-09,0.114465587,0.066580683,52,1.23E-05,9.28E-06,2.90E-05,2.19E-05,136.0963053,1.07E-05,266.8338198,-28.3844689,0,7.085679296,2,,core_176_f1,"Fragmented, at least one is HII",F1,2
1179,1179,2.67E-10,1.08E-09,0.000574011,0.000671925,35,9.74E-06,6.30E-06,2.29E-05,1.48E-05,133.1269884,7.83E-06,266.8336544,-28.38444262,0,3.231449568,0,,,,,
1188,1188,1.05E-09,4.69E-09,0.219712847,0.075366929,152,1.74E-05,1.39E-05,4.10E-05,3.27E-05,146.6437093,1.56E-05,266.8337846,-28.38437752,0,60.80786342,2,,core_236_f10.303,,F10.33,1
1191,1191,4.62E-10,1.30E-09,0.002481398,0.001581267,42,1.29E-05,8.22E-06,3.04E-05,1.94E-05,135.0042447,1.03E-05,266.8341911,-28.38438069,0,2.792847273,0,,,,,
1192,1192,1.90E-10,5.56E-10,0.02014555,0.02486885,18,8.65E-06,5.04E-06,2.04E-05,1.19E-05,-135.0592025,6.60E-06,266.8340069,-28.38438734,0,8.428953379,0,,,,,
1194,1194,1.06E-09,3.18E-09,0.001897549,0.000629202,103,2.79E-05,8.71E-06,6.58E-05,2.05E-05,152.8361987,1.56E-05,266.8344527,-28.38436342,0,2.32016034,0,,,,,
1197,1197,1.85E-10,5.56E-10,0.020622573,0.025571879,18,8.62E-06,4.92E-06,2.03E-05,1.16E-05,163.3065332,6.51E-06,266.8340117,-28.38435333,0,8.131579323,0,Unlikely,,,,
1202,1202,8.64E-10,5.34E-09,0.020891593,0.012549652,173,1.67E-05,1.19E-05,3.92E-05,2.80E-05,169.0146498,1.41E-05,266.8343461,-28.38427277,0,65.96393201,2,,,,G10.44,
1216,1216,3.12E-09,1.82E-08,0.369260801,0.083727702,591,2.87E-05,2.50E-05,6.76E-05,5.88E-05,101.7733746,2.68E-05,266.8345262,-28.38419796,0,192.6074085,2,HII region?,core_175_G,,G10.44,2
1228,1228,3.38E-09,9.75E-09,0.013255456,0.002957911,316,3.62E-05,2.15E-05,8.52E-05,5.05E-05,133.8867763,2.79E-05,266.8338022,-28.38417035,0,18.52362434,2,Bad contour,core_241_f10.30,,F10.30,1
1240,1240,2.31E-10,7.10E-10,0.001491488,0.001658006,23,9.22E-06,5.74E-06,2.17E-05,1.35E-05,126.4110903,7.28E-06,266.8344471,-28.38407753,0,2.536153467,0,,,,,
1243,1243,4.47E-09,9.60E-09,0.006994762,0.000855477,311,4.23E-05,2.43E-05,9.96E-05,5.71E-05,-161.9227969,3.20E-05,266.8338705,-28.38396811,0,5.727911549,2,Bad contour,core_242_f10.318,,F10.318,1
1246,1246,3.40E-10,9.57E-10,0.002403609,0.001802663,31,1.31E-05,5.94E-06,3.09E-05,1.40E-05,128.4958411,8.83E-06,266.8344907,-28.38399798,0,4.54552028,0,,,,,
1247,1247,2.70E-10,8.02E-10,0.002027463,0.001777576,26,1.17E-05,5.31E-06,2.75E-05,1.25E-05,150.8841841,7.87E-06,266.8344189,-28.38400805,0,5.43439014,0,,,,,
1250,1250,5.56E-10,1.73E-09,0.005116073,0.002521768,56,1.20E-05,1.06E-05,2.83E-05,2.50E-05,178.0389817,1.13E-05,266.8344552,-28.38396701,0,9.661258647,2,,,,G10.47,
8343,8343,2.71E-10,5.25E-10,0.00014463,0.000201252,17,1.04E-05,5.98E-06,2.45E-05,1.41E-05,169.4027039,7.88E-06,266.8197993,-28.37923818,0,3.463586674,0,,,,,
8349,8349,4.26E-10,1.33E-09,0.000507195,0.000367955,43,1.44E-05,6.80E-06,3.39E-05,1.60E-05,137.1408648,9.89E-06,266.8197571,-28.37921809,0,5.789297476,2,Disk? Part of a bigger structure.,,,,
8710,8710,2.30E-10,7.41E-10,0.000253895,0.000294347,24,7.92E-06,6.67E-06,1.87E-05,1.57E-05,127.8841834,7.27E-06,266.835214,-28.3783649,0,9.211625612,2,,,,,
8713,8713,3.05E-10,1.02E-09,0.000398451,0.000372436,33,9.86E-06,7.09E-06,2.32E-05,1.67E-05,92.14155153,8.36E-06,266.8338248,-28.37835701,0,9.931651464,2,,,,,
8756,8756,3.20E-10,1.02E-09,0.000322858,0.000268215,33,1.05E-05,6.96E-06,2.48E-05,1.64E-05,51.87061052,8.57E-06,266.8339416,-28.37826259,0,4.21351106,0,Fillament?,,,,
8804,8804,1.19E-09,1.05E-08,0.050893281,0.024442406,339,1.77E-05,1.53E-05,4.18E-05,3.61E-05,-155.6930335,1.65E-05,266.8334919,-28.37814352,0,155.718547,2,,core_96_Z10.24,,Z10.24,3
8811,8811,3.70E-10,1.20E-09,0.000409411,0.000295915,39,1.25E-05,6.82E-06,2.94E-05,1.61E-05,-175.563284,9.22E-06,266.8337292,-28.37815846,0,2.719920199,0,,,,,
8813,8813,3.42E-10,1.08E-09,0.000323352,0.000238745,35,1.34E-05,5.85E-06,3.16E-05,1.38E-05,117.646318,8.86E-06,266.8295325,-28.3781449,0,8.65501082,2,,,,,
8825,8825,3.57E-10,1.11E-09,0.000896343,0.000636965,36,1.13E-05,7.28E-06,2.66E-05,1.71E-05,176.9251794,9.06E-06,266.8336277,-28.37813504,0,6.572620524,2,,,,,
8838,8838,2.97E-10,9.88E-10,0.000896073,0.000839833,32,1.05E-05,6.52E-06,2.47E-05,1.54E-05,109.4623344,8.26E-06,266.83359,-28.37811072,0,5.473063606,2,,,,,
8839,8839,1.49E-10,4.63E-10,0.000135153,0.000216965,15,7.86E-06,4.35E-06,1.85E-05,1.03E-05,57.85742644,5.85E-06,266.8321982,-28.37811795,0,4.908910699,2,,,,,
8872,8872,6.25E-10,2.44E-09,0.001615784,0.000947102,79,1.48E-05,9.71E-06,3.48E-05,2.29E-05,137.6273878,1.20E-05,266.8335448,-28.37803573,0,8.375818415,2,,,,,
8873,8873,6.66E-10,2.44E-09,0.001139243,0.000625444,79,1.55E-05,9.86E-06,3.65E-05,2.32E-05,165.0994317,1.24E-05,266.8235376,-28.37803757,0,14.53840282,2,,core_247,,,
8905,8905,3.60E-10,1.17E-09,0.00041474,0.000322276,38,1.20E-05,6.87E-06,2.83E-05,1.62E-05,162.2879838,9.09E-06,266.8333203,-28.37799216,0,6.232193584,2,,,,,
8938,8938,2.67E-10,9.57E-10,0.000443728,0.000482997,31,8.58E-06,7.15E-06,2.02E-05,1.68E-05,133.8181042,7.83E-06,266.8327413,-28.37794332,0,20.71847231,2,,,,,
8970,8970,4.24E-10,1.64E-09,0.0010968,0.000840115,53,1.10E-05,8.85E-06,2.59E-05,2.08E-05,-167.5005689,9.87E-06,266.832236,-28.37789625,0,17.84471194,2,,,,,
8984,8984,4.71E-10,2.01E-09,0.001587232,0.001141744,65,1.25E-05,8.62E-06,2.95E-05,2.03E-05,147.4170193,1.04E-05,266.8324808,-28.37786149,0,38.08323471,2,,,,,
8986,8986,7.41E-10,2.19E-09,0.001048648,0.000599,71,1.77E-05,9.60E-06,4.18E-05,2.26E-05,157.2907536,1.30E-05,266.8323157,-28.37786069,0,5.452490549,2,Contour,,,,
9001,9001,6.53E-10,1.79E-09,0.000559823,0.000257076,58,1.64E-05,9.14E-06,3.87E-05,2.15E-05,150.8279938,1.22E-05,266.8237388,-28.3778349,0,7.561270827,2,,,,,
9016,9016,6.16E-10,2.62E-09,0.002239786,0.001462381,85,1.29E-05,1.09E-05,3.04E-05,2.58E-05,69.40360341,1.19E-05,266.8323794,-28.37779563,0,33.29427655,2,,,,,
9024,9024,6.19E-10,2.31E-09,0.003456638,0.001883207,75,1.37E-05,1.04E-05,3.21E-05,2.45E-05,127.8929738,1.19E-05,266.8326645,-28.37779598,0,22.34694214,2,,core_97,,,
9028,9028,3.67E-10,1.11E-09,0.0010546,0.000734846,36,1.24E-05,6.78E-06,2.93E-05,1.60E-05,-136.9018848,9.18E-06,266.8327264,-28.37778683,0,9.731332136,2,,core_97,,,
9139,9139,4.23E-10,1.36E-09,0.000470298,0.000300824,44,1.32E-05,7.39E-06,3.10E-05,1.74E-05,-154.6784412,9.86E-06,266.8320893,-28.37755282,0,10.39447986,2,,,,,
9167,9167,4.34E-10,1.42E-09,0.00048515,0.000309993,46,1.21E-05,8.22E-06,2.86E-05,1.93E-05,47.44756884,9.99E-06,266.8319311,-28.37747827,0,14.00217609,2,,,,,
9323,9323,7.01E-10,2.13E-09,0.000655474,0.000250991,69,1.48E-05,1.09E-05,3.48E-05,2.56E-05,143.0022802,1.27E-05,266.8244512,-28.37698837,0,9.805646209,2,,core_135,,,
9357,9357,9.95E-10,2.90E-09,0.000963878,0.000317164,94,2.67E-05,8.56E-06,6.28E-05,2.02E-05,137.5991213,1.51E-05,266.8314257,-28.37686346,0,6.561720964,2,Contour,core_232,,,
9448,9448,5.01E-10,1.98E-09,0.001191351,0.000796691,64,1.18E-05,9.76E-06,2.77E-05,2.30E-05,173.2089466,1.07E-05,266.8314657,-28.37641548,0,30.43963508,2,,core_231,,,
9598,9598,3.05E-10,9.26E-10,0.00036376,0.000283577,30,8.80E-06,7.96E-06,2.07E-05,1.87E-05,70.47652703,8.37E-06,266.831528,-28.37579443,0,4.998244608,1,,,,,
9620,9620,1.63E-10,4.94E-10,0.00063862,0.000864622,16,7.77E-06,4.81E-06,1.83E-05,1.13E-05,147.6980353,6.11E-06,266.8313163,-28.37570982,0,5.641135767,1,Check SI,core_98,,,
9625,9625,1.19E-09,3.36E-09,0.005956352,0.002003212,109,2.43E-05,1.13E-05,5.72E-05,2.66E-05,137.7407181,1.66E-05,266.831403,-28.37567046,0,14.07711026,3,min delta,core_98,,,
9646,9646,3.68E-10,1.17E-09,0.000569034,0.00040996,38,1.52E-05,5.55E-06,3.58E-05,1.31E-05,161.9463571,9.19E-06,266.8312399,-28.3755476,0,10.35436832,1,Check SI,,,,
9648,9648,1.19E-09,3.09E-09,0.001650813,0.000526903,100,3.28E-05,8.33E-06,7.73E-05,1.96E-05,144.5571627,1.65E-05,266.8313685,-28.37551352,0,14.37081431,0,Fillament,,,,
10105,10105,3.33E-10,1.02E-09,0.000316615,0.000241937,33,9.53E-06,8.03E-06,2.25E-05,1.89E-05,111.9371753,8.75E-06,266.8300622,-28.37394276,0,10.22608331,2,,,,,
10316,10316,4.36E-10,1.39E-09,0.000457323,0.000270079,45,1.29E-05,7.75E-06,3.05E-05,1.82E-05,136.9401616,1.00E-05,266.831912,-28.37348347,0,3.377890011,1,Check SI,core_113,,,
10331,10331,1.75E-09,7.59E-09,0.005141986,0.001748645,246,2.72E-05,1.48E-05,6.40E-05,3.49E-05,-175.8881698,2.01E-05,266.831836,-28.37343531,0,25.48293097,2,,core_113,,,
10522,10522,4.41E-10,1.64E-09,0.000828561,0.000583989,53,1.28E-05,7.92E-06,3.01E-05,1.87E-05,162.9924842,1.01E-05,266.8336547,-28.37305993,0,25.0158589,2,,,,,
10537,10537,5.97E-10,2.16E-09,0.001043108,0.000543137,70,1.26E-05,1.08E-05,2.98E-05,2.55E-05,145.3688302,1.17E-05,266.831895,-28.37298356,0,32.03528263,2,Resolved?,,,,
10550,10550,1.51E-09,5.68E-09,0.003408925,0.000987769,184,3.25E-05,1.07E-05,7.65E-05,2.52E-05,132.2726738,1.87E-05,266.8328212,-28.37289658,0,10.55275807,1,Check SI,core_114,,,
10888,10888,6.57E-10,2.56E-09,0.001391501,0.000714142,83,1.28E-05,1.18E-05,3.02E-05,2.77E-05,-170.0238089,1.23E-05,266.824785,-28.37206194,0,26.79598463,2,,core_137,,,
10898,10898,2.20E-10,6.79E-10,0.000201925,0.0002254,22,9.06E-06,5.57E-06,2.13E-05,1.31E-05,102.593917,7.11E-06,266.8249191,-28.37203109,0,10.4051832,2,,,,,
10921,10921,2.44E-10,7.41E-10,0.000209054,0.000208058,24,1.13E-05,4.94E-06,2.66E-05,1.16E-05,141.5877921,7.48E-06,266.8264755,-28.3719224,0,8.961967068,2,,,,,
10967,10967,2.31E-10,7.72E-10,0.000302347,0.000357108,25,8.24E-06,6.43E-06,1.94E-05,1.51E-05,117.5810593,7.28E-06,266.8303829,-28.37176975,0,9.471899366,2,,core_251,,,
11069,11069,3.77E-10,1.20E-09,0.000397685,0.000274034,39,1.02E-05,8.48E-06,2.40E-05,2.00E-05,-175.8949652,9.30E-06,266.8320819,-28.37150021,0,8.175271641,2,,,,,
11240,11240,3.67E-10,1.42E-09,0.00080583,0.000706687,46,9.52E-06,8.86E-06,2.24E-05,2.09E-05,75.18521907,9.19E-06,266.8319895,-28.37105065,0,24.26500362,2,,,,,
11273,11273,1.10E-09,2.44E-09,0.000697926,0.000224617,79,2.41E-05,1.05E-05,5.68E-05,2.47E-05,138.4049476,1.59E-05,266.8295561,-28.37098319,0,7.424543716,3,min delta,,,,
11291,11291,3.52E-10,1.02E-09,0.000561163,0.000416313,33,1.33E-05,6.10E-06,3.12E-05,1.44E-05,110.4697815,9.00E-06,266.8311175,-28.37096121,0,11.53838827,1,Fillament?,,,,
11295,11295,6.34E-10,2.41E-09,0.001272666,0.000651526,78,1.49E-05,9.76E-06,3.51E-05,2.30E-05,148.8016219,1.21E-05,266.8298604,-28.37094245,0,27.45246848,2,,,,,
11296,11296,1.51E-09,5.80E-09,0.003794057,0.001466202,188,3.15E-05,1.10E-05,7.41E-05,2.60E-05,133.1357194,1.86E-05,266.8297291,-28.37090551,0,80.1810815,3,min delta,,,,
11306,11306,1.33E-09,4.44E-09,0.002249152,0.000760024,144,2.23E-05,1.37E-05,5.25E-05,3.24E-05,179.7407049,1.75E-05,266.8319697,-28.37091274,0,18.62743539,2,Check SI,core_110,,,
11314,11314,4.27E-10,1.39E-09,0.000884837,0.000577578,45,1.50E-05,6.54E-06,3.53E-05,1.54E-05,125.9312442,9.90E-06,266.8311536,-28.37089777,0,10.65964534,1,Fillament?,,,,
11324,11324,3.77E-09,1.37E-08,0.009158784,0.001901718,445,3.24E-05,2.67E-05,7.63E-05,6.28E-05,63.49676604,2.94E-05,266.8302222,-28.37082579,0,32.49957357,2,HII region? Discuss,core_108,,,
11325,11325,1.80E-10,5.56E-10,0.000161884,0.000219713,18,7.25E-06,5.69E-06,1.71E-05,1.34E-05,127.7429336,6.42E-06,266.8346193,-28.37089044,0,6.368279696,2,,,,,
11327,11327,5.33E-10,2.13E-09,0.00136802,0.000957984,69,1.33E-05,9.18E-06,3.14E-05,2.16E-05,90.6111942,1.11E-05,266.8321198,-28.37086896,0,25.06395491,2,,,,,
11333,11333,2.81E-10,8.64E-10,0.000271787,0.000245533,28,9.48E-06,6.80E-06,2.23E-05,1.60E-05,103.1575712,8.03E-06,266.8299078,-28.37087363,0,8.718336748,2,,,,,
11341,11341,2.14E-10,6.48E-10,0.000191042,0.000223756,21,9.59E-06,5.11E-06,2.26E-05,1.20E-05,141.8843716,7.00E-06,266.8293925,-28.37086451,0,3.497561901,0,Not sure,,,,
11345,11345,1.00E-09,3.18E-09,0.001303852,0.000448221,103,2.76E-05,8.35E-06,6.50E-05,1.97E-05,170.6693051,1.52E-05,266.8318144,-28.37084963,0,8.645170976,0,Fillament?,,,,
11353,11353,1.97E-09,6.05E-09,0.003249177,0.000606174,196,4.24E-05,1.07E-05,9.99E-05,2.51E-05,170.9067033,2.13E-05,266.8310897,-28.37079513,0,8.45239101,0,Fillament?,,,,
11355,11355,4.34E-10,1.48E-09,0.001703281,0.001192087,48,1.17E-05,8.50E-06,2.76E-05,2.00E-05,148.3479944,9.99E-06,266.8320349,-28.37080953,0,13.08335067,2,,core_110,,,
11356,11356,5.10E-10,1.85E-09,0.000975672,0.00071589,60,1.38E-05,8.47E-06,3.26E-05,1.99E-05,121.2544718,1.08E-05,266.8292529,-28.37079263,0,13.67504894,2,,,,,
11365,11365,4.66E-10,1.17E-09,0.001013901,0.000713211,38,1.59E-05,6.74E-06,3.74E-05,1.59E-05,-140.2207825,1.03E-05,266.8319572,-28.37079708,0,5.929599983,0,,,,,
11373,11373,9.84E-10,2.69E-09,0.001166443,0.00067907,87,2.70E-05,8.37E-06,6.36E-05,1.97E-05,-164.0072167,1.50E-05,266.8317953,-28.37077953,0,6.909913379,3,min delta,,,,
11385,11385,2.01E-10,6.17E-10,0.000214538,0.000250011,20,1.08E-05,4.27E-06,2.54E-05,1.01E-05,146.3565468,6.79E-06,266.8316006,-28.37076928,0,6.727983177,0,,,,,
11389,11389,5.22E-10,2.16E-09,0.001505819,0.000990146,70,1.22E-05,9.79E-06,2.88E-05,2.31E-05,109.3252114,1.09E-05,266.8308697,-28.37074739,0,24.16085059,2,,,,,
11402,11402,6.67E-10,2.10E-09,0.000688771,0.00027602,68,1.29E-05,1.19E-05,3.04E-05,2.79E-05,137.9931664,1.24E-05,266.8313788,-28.37074163,0,8.753818696,2,,,,,
11404,11404,8.40E-10,2.41E-09,0.001096061,0.000468049,78,1.75E-05,1.10E-05,4.13E-05,2.59E-05,-179.5717108,1.39E-05,266.8316833,-28.37073729,0,16.67705062,2,,,,,
11406,11406,9.57E-10,3.12E-09,0.001576674,0.000754328,101,1.85E-05,1.19E-05,4.36E-05,2.79E-05,-150.8224633,1.48E-05,266.8291899,-28.37071984,0,12.43093537,2,,,,,
11415,11415,4.25E-10,1.33E-09,0.000539329,0.000321182,43,1.23E-05,7.93E-06,2.90E-05,1.87E-05,161.8294867,9.88E-06,266.8311892,-28.3707212,0,4.731575285,2,Check SI,core_111,,,
11418,11418,1.65E-09,6.08E-09,0.00367938,0.001135109,197,2.60E-05,1.46E-05,6.12E-05,3.43E-05,-161.0870099,1.95E-05,266.831277,-28.37069306,0,17.6354848,3,contour,core_111,,,
11425,11425,6.21E-10,2.25E-09,0.001037732,0.000509036,73,1.69E-05,8.43E-06,3.99E-05,1.98E-05,162.1354588,1.19E-05,266.8315245,-28.37069447,0,14.50241368,2,,,,,
11444,11444,6.89E-10,2.19E-09,0.000975514,0.000381975,71,1.92E-05,8.23E-06,4.52E-05,1.94E-05,-153.3889728,1.26E-05,266.8320763,-28.37065855,0,6.760625424,3,Two sources?,,,,
11461,11461,2.46E-10,8.02E-10,0.000335175,0.000366994,26,8.32E-06,6.79E-06,1.96E-05,1.60E-05,-164.1663419,7.51E-06,266.8320076,-28.37063344,0,6.704515676,2,,,,,
11462,11462,2.40E-10,7.72E-10,0.000252939,0.00027382,25,8.20E-06,6.73E-06,1.93E-05,1.58E-05,125.1633294,7.43E-06,266.8303375,-28.37063161,0,11.75095219,2,,,,,
11489,11489,7.59E-10,2.16E-09,0.000744103,0.000349701,70,1.89E-05,9.22E-06,4.45E-05,2.17E-05,117.1057301,1.32E-05,266.8289681,-28.37057684,0,10.07163214,3,Two sources?,,,,
11516,11516,2.45E-10,7.41E-10,0.000213773,0.000206214,24,8.49E-06,6.61E-06,2.00E-05,1.56E-05,-150.815345,7.49E-06,266.8318689,-28.37057087,0,4.956861741,2,,,,,
11552,11552,4.77E-10,1.82E-09,0.001044042,0.000675777,59,1.16E-05,9.47E-06,2.72E-05,2.23E-05,59.48865995,1.05E-05,266.8311759,-28.37050025,0,34.43688634,2,,,,,
11566,11566,4.63E-10,1.51E-09,0.000520255,0.000309015,49,1.20E-05,8.89E-06,2.82E-05,2.09E-05,152.5903179,1.03E-05,266.8343082,-28.37048335,0,11.75257153,2,,,,,
11567,11567,3.18E-10,9.57E-10,0.000834642,0.000636568,31,1.10E-05,6.65E-06,2.59E-05,1.56E-05,79.78231172,8.55E-06,266.8290388,-28.37048405,0,8.850177515,2,Check SI,core_106,,,
11603,11603,1.59E-10,4.94E-10,0.000139799,0.000204707,16,7.69E-06,4.74E-06,1.81E-05,1.12E-05,148.0449742,6.04E-06,266.8289445,-28.37042805,0,3.637444337,0,,,,,
