_idx,_name,area_ellipse,area_exact,flux,peak,npix,major_sigma,minor_sigma,major_fwhm,minor_fwhm,position_angle,radius,x_cen,y_cen,rejected,100.0GHz_snr,score,notes,B3_match
1334,1334,1.43E-10,4.86E-10,0.003019137,0.002669689,63,9.38E-06,3.51E-06,2.21E-05,8.26E-06,172.0029537,5.74E-06,266.8315296,-28.37069136,0,5.24703973,2,,11425
1335,1335,3.65E-10,1.08E-09,0.004817681,0.001607786,140,1.15E-05,7.31E-06,2.70E-05,1.72E-05,161.628058,9.16E-06,266.8310479,-28.37067395,0,4.841786234,2,,0
1338,1338,4.03E-10,1.18E-09,0.007804435,0.002839522,153,1.67E-05,5.55E-06,3.93E-05,1.31E-05,-152.5517313,9.62E-06,266.8320705,-28.37065349,0,5.728104351,2,,11444
1342,1342,3.79E-10,1.20E-09,0.006140539,0.00202433,155,9.99E-06,8.70E-06,2.35E-05,2.05E-05,116.6437494,9.32E-06,266.8303398,-28.37063179,0,6.65722609,2,,11462
1344,1344,8.17E-11,2.55E-10,0.001491897,0.002063789,33,6.66E-06,2.82E-06,1.57E-05,6.63E-06,-169.6359388,4.33E-06,266.8320087,-28.37063676,0,4.068067522,0,,11461
1345,1345,2.37E-09,5.38E-09,0.023160497,0.001730622,697,3.65E-05,1.49E-05,8.59E-05,3.51E-05,-146.9431456,2.33E-05,266.8344748,-28.37057995,0,5.381590078,0,,
1350,1350,5.46E-09,1.15E-08,0.05488388,0.002546784,1496,5.44E-05,2.31E-05,0.00012808,5.43E-05,-160.6123344,3.54E-05,266.8289451,-28.37056087,0,2.88956638,3,Bad contour,11489
1352,1352,1.55E-10,4.86E-10,0.006262817,0.004632934,63,9.96E-06,3.58E-06,2.35E-05,8.43E-06,-176.2107246,5.97E-06,266.8331708,-28.37060497,0,4.34760477,2,,14656
1361,1361,4.12E-10,1.23E-09,0.027713615,0.008495268,159,1.46E-05,6.48E-06,3.43E-05,1.53E-05,132.297124,9.72E-06,266.8331432,-28.37055931,0,5.596545035,2,,14680
1372,1372,1.25E-09,3.70E-09,0.023782921,0.004646722,479,2.49E-05,1.16E-05,5.86E-05,2.73E-05,159.2563095,1.70E-05,266.8311566,-28.37050717,0,12.229834,2,Bad contour,11552
1374,1374,6.67E-11,1.93E-10,0.003628623,0.005547313,25,4.93E-06,3.11E-06,1.16E-05,7.31E-06,155.7605331,3.91E-06,266.8331847,-28.37053376,0,3.182776837,1,Not sure,0
1379,1379,1.53E-10,5.32E-10,0.003336124,0.002918864,69,7.80E-06,4.50E-06,1.84E-05,1.06E-05,172.5032424,5.92E-06,266.8333989,-28.37051045,0,4.891755658,2,,1
1382,1382,6.62E-10,2.08E-09,0.010491496,0.002111861,270,1.49E-05,1.02E-05,3.52E-05,2.39E-05,-157.3753049,1.23E-05,266.8344441,-28.37048964,0,16.48537183,2,,0
1383,1383,5.90E-11,1.70E-10,0.002568212,0.00454352,22,5.94E-06,2.28E-06,1.40E-05,5.37E-06,-165.598609,3.68E-06,266.8331699,-28.37050738,0,2.026719913,1,Not sure,0
1386,1386,2.66E-10,8.02E-10,0.004489842,0.001916029,104,1.11E-05,5.53E-06,2.60E-05,1.30E-05,81.3700705,7.82E-06,266.829036,-28.37048388,0,2.601020367,1,Not sure,11567
1387,1387,5.31E-10,1.73E-09,0.009033122,0.002077088,224,1.52E-05,8.03E-06,3.57E-05,1.89E-05,164.0322713,1.10E-05,266.8343085,-28.37048224,0,13.85229441,2,,11566
1397,1397,3.01E-09,9.10E-09,0.083710696,0.006802723,1179,3.57E-05,1.94E-05,8.41E-05,4.57E-05,131.1977292,2.63E-05,266.8290784,-28.37038213,0,8.379395608,3,Bad contour,11637
1403,1403,9.88E-10,2.84E-09,0.012727321,0.001558318,368,1.70E-05,1.33E-05,4.01E-05,3.13E-05,166.5821041,1.51E-05,266.8344773,-28.37040698,0,8.85328919,0,,
1405,1405,7.10E-11,2.24E-10,0.001025126,0.001619067,29,6.25E-06,2.61E-06,1.47E-05,6.14E-06,158.0501201,4.04E-06,266.8294176,-28.37041599,0,2.710614475,2,,11607
1435,1435,2.01E-09,7.01E-09,0.048022812,0.003293061,908,3.51E-05,1.31E-05,8.27E-05,3.09E-05,144.8607928,2.15E-05,266.8342732,-28.37009751,0,8.701078467,0,Disk? Fillament?,
1438,1438,2.24E-10,8.18E-10,0.005885286,0.003690023,106,8.59E-06,5.99E-06,2.02E-05,1.41E-05,-174.1843442,7.17E-06,266.8318219,-28.37011925,0,7.907774578,2,,11747
1450,1450,2.23E-10,7.56E-10,0.00497214,0.003386867,98,7.46E-06,6.88E-06,1.76E-05,1.62E-05,52.28431824,7.16E-06,266.8314501,-28.37006246,0,9.029418666,2,,11779
1457,1457,2.73E-10,7.33E-10,0.003403237,0.002075175,95,1.09E-05,5.74E-06,2.57E-05,1.35E-05,154.4265496,7.92E-06,266.8270815,-28.37002539,0,8.892427938,2,,11802
1459,1459,7.66E-10,2.20E-09,0.010044177,0.002115505,285,1.94E-05,9.07E-06,4.57E-05,2.14E-05,-171.5058914,1.33E-05,266.8282537,-28.37001965,0,3.287516144,2,Contour,11801
1463,1463,1.37E-09,4.90E-09,0.04678405,0.009107748,635,2.41E-05,1.30E-05,5.67E-05,3.07E-05,167.9941303,1.77E-05,266.830092,-28.36997803,0,16.31473814,2,Contour,11798
1464,1464,4.12E-10,1.37E-09,0.008372643,0.002680887,177,1.62E-05,5.84E-06,3.82E-05,1.38E-05,151.6609761,9.73E-06,266.8310891,-28.36999023,0,3.349006362,2,,11813
1465,1465,2.74E-10,7.48E-10,0.00339687,0.001766613,97,1.59E-05,3.95E-06,3.75E-05,9.31E-06,-176.7261268,7.94E-06,266.8270124,-28.36999934,0,4.402668787,0,Unlikely,
1470,1470,2.16E-10,6.79E-10,0.003292379,0.001732486,88,9.71E-06,5.11E-06,2.29E-05,1.20E-05,146.774061,7.05E-06,266.829942,-28.36996784,0,2.980945184,2,,11821
1472,1472,4.44E-10,1.68E-09,0.013482184,0.005082256,218,1.28E-05,7.96E-06,3.02E-05,1.87E-05,165.7327904,1.01E-05,266.8300312,-28.36993086,0,7.316336724,2,,11843
1474,1474,8.54E-10,2.97E-09,0.021456305,0.003885913,385,2.63E-05,7.46E-06,6.18E-05,1.76E-05,178.2134482,1.40E-05,266.8316932,-28.36989386,0,7.001321444,2,Resolved?,11873
1480,1480,1.21E-09,3.69E-09,0.031116845,0.007311185,478,2.84E-05,9.79E-06,6.68E-05,2.30E-05,-171.6698731,1.67E-05,266.8271425,-28.36985317,0,9.791121936,1,Multiple sources,11876
1489,1489,5.06E-10,1.80E-09,0.012563552,0.004058125,233,1.24E-05,9.37E-06,2.92E-05,2.21E-05,-157.8791338,1.08E-05,266.8346358,-28.36980551,0,7.43942143,1,Discuss,1
1494,1494,2.47E-09,6.57E-09,0.052404179,0.003704118,852,4.33E-05,1.31E-05,0.000102017,3.08E-05,-138.1584221,2.38E-05,266.8270869,-28.36974926,0,3.498060005,0,,
1538,1538,3.97E-10,1.37E-09,0.008775041,0.002966643,178,1.22E-05,7.49E-06,2.87E-05,1.76E-05,175.8139404,9.55E-06,266.8325493,-28.3696035,0,13.71535132,2,,12020
1557,1557,5.14E-10,1.57E-09,0.007712359,0.002015989,204,1.23E-05,9.60E-06,2.89E-05,2.26E-05,66.979793,1.09E-05,266.8319693,-28.3695097,0,4.0211004,2,,12049
1579,1579,1.66E-09,4.27E-09,0.024001567,0.002791831,554,2.84E-05,1.34E-05,6.69E-05,3.15E-05,137.1430442,1.95E-05,266.8321881,-28.36944183,0,7.786116975,2,Two sources?,12075
1582,1582,7.82E-10,2.28E-09,0.010820797,0.001768413,295,1.76E-05,1.02E-05,4.14E-05,2.40E-05,53.13760209,1.34E-05,266.8319757,-28.3694396,0,4.620513497,1,Not sure,
1594,1594,4.09E-10,1.53E-09,0.011643929,0.004160305,198,1.17E-05,8.00E-06,2.76E-05,1.88E-05,175.8526092,9.69E-06,266.8330208,-28.36940999,0,10.25495871,2,Great,12093
1664,1664,4.80E-10,1.71E-09,0.013141822,0.003868873,221,1.16E-05,9.48E-06,2.74E-05,2.23E-05,54.32423834,1.05E-05,266.8329674,-28.36899213,0,10.34650265,2,Great,12230
1671,1671,3.29E-10,1.31E-09,0.012534874,0.006570046,170,1.18E-05,6.41E-06,2.78E-05,1.51E-05,168.2216723,8.70E-06,266.8329018,-28.36898337,0,8.634977667,2,,12234
1754,1754,9.31E-10,2.69E-09,0.017713999,0.002859326,349,1.73E-05,1.23E-05,4.08E-05,2.90E-05,-158.3997148,1.46E-05,266.8334335,-28.36843568,0,22.3383893,2,Local SNR error?,0
1837,1837,2.66E-10,8.41E-10,0.019318963,0.009751984,109,1.05E-05,5.82E-06,2.47E-05,1.37E-05,153.8587267,7.82E-06,266.8337057,-28.36800771,0,8.408322048,2,,12556
1843,1843,9.02E-11,2.62E-10,0.004902613,0.00610351,34,7.53E-06,2.75E-06,1.77E-05,6.48E-06,174.9109154,4.55E-06,266.8337575,-28.36799039,0,8.117253641,2,,1
1848,1848,8.88E-10,2.82E-09,0.020679403,0.004001559,366,1.92E-05,1.06E-05,4.52E-05,2.50E-05,165.1895066,1.43E-05,266.8337957,-28.3679412,0,9.748569246,2,,12573
1903,1903,3.56E-11,1.16E-10,0.000546846,0.00164953,15,3.95E-06,2.07E-06,9.30E-06,4.88E-06,173.8731613,2.86E-06,266.8341354,-28.36773811,0,5.636392902,2,,12636
9,9,7.61E-10,1.72E-09,0.05398726,0.010322256,223,2.06E-05,8.48E-06,4.85E-05,2.00E-05,98.89447173,1.32E-05,266.8328054,-28.37209525,0,7.117725585,0,,
14,14,2.04E-10,5.94E-10,0.022904886,0.012095738,77,1.14E-05,4.12E-06,2.68E-05,9.70E-06,-171.0869,6.85E-06,266.8328885,-28.37209141,0,4.004555158,0,,
15,15,6.78E-10,1.94E-09,0.092385079,0.017822163,251,2.21E-05,7.03E-06,5.22E-05,1.66E-05,-160.2967178,1.25E-05,266.8329431,-28.37206811,0,5.280380645,2,,13804
16,16,1.88E-10,5.17E-10,0.022078543,0.01358582,67,1.03E-05,4.19E-06,2.42E-05,9.87E-06,-147.0239889,6.57E-06,266.8328616,-28.37203812,0,8.363953274,0,Unlikely,
24,24,8.78E-10,2.52E-09,0.17846587,0.023589969,327,2.56E-05,7.88E-06,6.02E-05,1.86E-05,102.6666047,1.42E-05,266.8327631,-28.37188543,0,10.4444632,0,Fillament,
25,25,1.87E-09,4.11E-09,0.232800883,0.019097395,533,4.42E-05,9.72E-06,0.000103977,2.29E-05,174.38185,2.07E-05,266.8329193,-28.37181934,0,4.049834616,0,Fillament,
26,26,4.44E-11,1.31E-10,0.00850532,0.019398052,17,5.08E-06,2.01E-06,1.20E-05,4.73E-06,179.9744516,3.19E-06,266.8328108,-28.37182653,0,4.426013598,2,,13904
28,28,2.07E-10,5.79E-10,0.039312172,0.020948788,75,9.46E-06,5.02E-06,2.23E-05,1.18E-05,91.01579332,6.89E-06,266.8327844,-28.37181093,0,4.428503972,0,,
30,30,1.79E-10,5.32E-10,0.041975257,0.024874106,69,7.71E-06,5.34E-06,1.82E-05,1.26E-05,139.1667968,6.41E-06,266.8327516,-28.3717886,0,5.612799224,2,,0
31,31,8.35E-10,2.65E-09,0.135816518,0.022459932,343,1.73E-05,1.11E-05,4.08E-05,2.61E-05,103.4267426,1.38E-05,266.8328509,-28.37175186,0,11.25211893,2,,0
32,32,1.39E-10,3.70E-10,0.027754082,0.022805592,48,7.22E-06,4.42E-06,1.70E-05,1.04E-05,-166.942956,5.65E-06,266.8327613,-28.37176304,0,6.658654002,0,,
33,33,1.42E-09,3.55E-09,0.116400846,0.011871881,460,1.90E-05,1.72E-05,4.48E-05,4.04E-05,-155.4038487,1.81E-05,266.8325357,-28.37174045,0,4.17143946,2,,13921
34,34,2.82E-10,8.33E-10,0.026036983,0.011295043,108,1.29E-05,5.00E-06,3.05E-05,1.18E-05,-176.4699364,8.05E-06,266.8326432,-28.37175181,0,4.983746278,0,Not sure,
35,35,4.03E-10,1.14E-09,0.05000277,0.013795743,148,1.72E-05,5.39E-06,4.04E-05,1.27E-05,176.2463826,9.62E-06,266.8331126,-28.37174022,0,3.42242077,1,,13926
36,36,1.88E-10,5.40E-10,0.015544173,0.009168778,70,8.60E-06,5.01E-06,2.03E-05,1.18E-05,-135.0195313,6.56E-06,266.832431,-28.37170209,0,6.531447368,2,,13928
38,38,1.06E-09,2.88E-09,0.124230135,0.014227817,373,2.43E-05,1.00E-05,5.72E-05,2.36E-05,93.67830858,1.56E-05,266.8328607,-28.37165049,0,4.106088258,1,,13979
39,39,1.33E-09,3.21E-09,0.102320236,0.012600499,416,2.40E-05,1.28E-05,5.64E-05,3.01E-05,163.0276835,1.75E-05,266.8326639,-28.37166494,0,5.800523191,0,,
40,40,2.91E-10,8.26E-10,0.032064487,0.012904235,107,1.23E-05,5.44E-06,2.89E-05,1.28E-05,60.05811875,8.17E-06,266.8327739,-28.3716295,0,4.045631304,0,,
41,41,6.48E-10,1.60E-09,0.068283607,0.013232223,207,2.02E-05,7.36E-06,4.76E-05,1.73E-05,69.9615265,1.22E-05,266.8328063,-28.37158887,0,4.239077777,0,,
42,42,1.40E-09,3.85E-09,0.137030922,0.015803549,499,2.69E-05,1.19E-05,6.35E-05,2.81E-05,126.5938495,1.79E-05,266.8332731,-28.37152338,0,5.009816079,2,Bad contour,14010
43,43,3.01E-10,8.72E-10,0.030553915,0.011973348,113,1.03E-05,6.75E-06,2.41E-05,1.59E-05,98.3017886,8.32E-06,266.8328036,-28.37151977,0,6.459468287,2,,1
44,44,2.06E-10,6.17E-10,0.017810447,0.009411722,80,1.00E-05,4.73E-06,2.36E-05,1.11E-05,157.3925774,6.88E-06,266.8328891,-28.37152201,0,5.433546717,0,,
45,45,3.41E-10,1.06E-09,0.033374703,0.011353211,137,1.28E-05,6.11E-06,3.02E-05,1.44E-05,-165.1466056,8.85E-06,266.8326738,-28.37150487,0,10.00085606,2,,14049
47,47,1.48E-09,3.64E-09,0.116418989,0.011219031,472,2.84E-05,1.20E-05,6.68E-05,2.83E-05,-175.1329877,1.84E-05,266.8329462,-28.37146104,0,3.012947628,0,,
48,48,7.33E-10,2.11E-09,0.072496454,0.012756488,273,1.48E-05,1.14E-05,3.48E-05,2.68E-05,137.8176969,1.30E-05,266.8328573,-28.37144324,0,7.088215112,0,,
54,54,3.43E-10,1.44E-09,0.112652698,0.058844339,187,1.29E-05,6.10E-06,3.04E-05,1.44E-05,-172.5960882,8.88E-06,266.8329037,-28.37043662,0,65.73071994,2,,14770
